week,author,source,path,description,State,,Preprocessed
10/13,Esteban,egodex,test/basic_pick_place/10.mp4,Move the toy from inside the bowl to inside the shovel.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/11.mp4,Move the hand sanitizer bottle from the bowl onto the plate.,Processed,,Annotated
10/13,Esteban,egodex,test/basic_pick_place/12.mp4,Move the brick from the bowl onto the plate.,Processed,,Failed
10/13,Esteban,egodex,test/basic_pick_place/13.mp4,Move the egg from the cup into the bowl.,Processed,,Failed
10/13,Esteban,egodex,test/basic_pick_place/14.mp4,Move the duck from the cup into the bowl.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/15.mp4,Place the stuffed toy on the plate.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/16.mp4,Place the duck on the plate.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/17.mp4,Place the duck in the bowl.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/18.mp4,Move the plate from the blue bowl to the orange bowl.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/19.mp4,Place the white block in the bowl.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/20.mp4,Move the green apple from the pink bowl to the blue bowl.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/21.mp4,Place the duck in the bowl.,Failed,,
10/13,Esteban,egodex,test/basic_pick_place/22.mp4,Place the box in the container. ,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/23.mp4,Place the stuffed toy in the cup.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/24.mp4,Place the duck on the plate.,Failed,,
10/13,Esteban,egodex,test/basic_pick_place/25.mp4,Place the block in the lid.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/26.mp4,Put the stuffed animal on the plate.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/27.mp4,Place the kiwi in the bowl.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/28.mp4,Place the pepper in the tray.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/29.mp4,Put the duck in the shovel.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/30.mp4,Place the stapler in the hard case.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/31.mp4,Place the cup on the tray.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/32.mp4,Place the screwdriver on the tray.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/33.mp4,Place the green block on the plate.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/34.mp4,Put the banana in the basket,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/35.mp4,Move the block from the container into the shovel,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/36.mp4,Place the tub in the bowl.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/37.mp4,Place the stuffed animal in the bowl.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/38.mp4,Place the apple on the plate.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/39.mp4,Place the tub in the bowl.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/40.mp4,Move the blue pen from the round table to the square table.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/41.mp4,Place the red block in the box.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/42.mp4,Place the block in the bowl.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/43.mp4,Place the lemon on the plate.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/44.mp4,Move the tomato from the yellow plate to the green plate.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/45.mp4,Place the cup in the bowl.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/46.mp4,Place the cube in the drawer.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/47.mp4,Place the block in the bowl.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/48.mp4,Move the brick from the pan to the tray.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/49.mp4,Move the block from the purple shovel into the white shovel.,Pending,,
10/13,Esteban,egodex,test/pour/0.mp4,Pour the juice into the cup.,Processed,,
10/13,Esteban,egodex,test/pour/1.mp4,Fill the cup with juice.,Processed,,
10/13,Esteban,egodex,test/pour/2.mp4,Pour the water bottle into the cup.,Processed,,
10/13,Esteban,egodex,test/pour/3.mp4,Empty the juice into the cup.,Processed,,
10/13,Esteban,egodex,test/pour/4.mp4,Pour the water from the bottle into the cup.,Processed,,
10/13,Esteban,egodex,test/pour/5.mp4,Serve the juice in the cup.,Processed,,
10/13,Esteban,egodex,test/pour/6.mp4,Tip the water bottle to fill the cup.,Processed,,
10/13,Esteban,egodex,test/pour/7.mp4,Pour the soda into the cup.,Processed,,
10/13,Esteban,egodex,test/pour/8.mp4,Add the juice to the cup.,Processed,,
10/13,Esteban,egodex,test/pour/9.mp4,Fill the cup with juice.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/0.mp4,"Stack the purple bowl on the blue bowl, and then stack the green bowl on the purple bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/1.mp4,"Unstack the purple bowl and place it on the left, then unstack the green bowl and place it on the right.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/2.mp4,"Stack the purple bowl on the blue bowl, then stack the green bowl on the purple bowl",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/3.mp4,Unstack all the bowls.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/4.mp4,"Stack the light blue bowl on the blue bowl, then stack the green bowl on the light blue bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/5.mp4,"Stack the purple bowl on the green bowl, then stack the blue bowl on the purple bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/6.mp4,"Unstack the green bowl and place it to the left of the blue bowl, then unstack the purple bowl and place it to the left of the green bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/7.mp4,"Stack the blue bowl on the orange bowl, then stack the purple bowl on the blue bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/8.mp4,Unstack all the bowls.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/9.mp4,Unstack all the bowls.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/10.mp4,"Stack the green bowl on the blue bowl, then stack the purple bowl on the green bowl, and finally stack the orange bowl on the purple bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/11.mp4,Unstack all four bowls from top to bottom.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/12.mp4,"Stack the orange bowl on the blue bowl, then stack the purple bowl on the orange bowl, and finally stack the light blue bowl on the purple bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/13.mp4,Unstack all four bowls from top to bottom.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/14.mp4,"Stack the blue bowl on the light blue bowl, then stack the purple bowl on the green bowl, and finally stack the green bowl on the blue bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/15.mp4,"Stack the blue bowl on the green bowl, then stack the purple bowl on the blue bowl, and finally stack the light blue bowl on the purple bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/16.mp4,Unstack all three bowls from top to bottom.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/17.mp4,"Stack the blue bowl on the light blue bowl, then stack the purple bowl on the blue bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/18.mp4,"Stack the blue bowl on the orange bowl, then stack the green bowl on the blue bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/19.mp4,Unstack all four bowls from top to bottom.,Pending,,
10/13,Esteban,egodex,test/stack_unstack_bowls/20.mp4,Unstack all three bowls from top to bottom.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/21.mp4,Unstack all four bowls from top to bottom.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/22.mp4,"Stack the purple bowl on the light blue bowl, then stack the green bowl on the purple bowl, and finally stack the blue bowl on the green bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/23.mp4,"Stack the green bowl on the blue bowl, then stack the orange bowl on the green bowl, and finally stack the purple bowl on the orange bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/24.mp4,Unstack all three bowls from top to bottom.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/25.mp4,Unstack all four bowls from top to bottom.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/26.mp4,"Stack the orange bowl on the blue bowl, then stack the light blue bowl on the purple bowl, and finally stack the purple bowl on the orange bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/27.mp4,Unstack all four bowls from top to bottom.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/28.mp4,Unstack all four bowls from top to bottom.,Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/29.mp4,"Stack the green bowl on the purple bowl, then stack the blue bowl on the green bowl, and finally stack the orange bowl on the blue bowl.",Processed,,
10/13,Esteban,egodex,test/stack_unstack_bowls/30.mp4,"Stack the green bowl on the purple bowl, then stack the blue bowl on the green bowl, and finally stack the orange bowl on the blue bowl.",Failed,,
10/13,Esteban,egodex,test/stack/0.mp4,Place the block on the box.,Failed,,
10/13,Esteban,egodex,test/stack/1.mp4,Put the duck on the box.,Processed,,
10/13,Esteban,egodex,test/stack/2.mp4,Place the bottle on the box.,Processed,,
10/13,Esteban,egodex,test/stack/3.mp4,Put the duck on the box.,Processed,,
10/13,Esteban,egodex,test/stack/4.mp4,Place the stuffed animal on the box.,Processed,,
10/13,Esteban,egodex,test/stack/5.mp4,Put the cup lid on the box.,Processed,,
10/13,Esteban,egodex,test/stack/6.mp4,Place the coffee cream on the box.,Processed,,
10/13,Esteban,egodex,test/stack/7.mp4,Move the stuffed animal from the box to the ground.,Processed,,
10/13,Esteban,egodex,test/stack/8.mp4,Put the stuffed animal on the box.,Processed,,
10/13,Esteban,egodex,test/stack/9.mp4,Place the lid on the box.,Processed,,
10/13,Esteban,egodex,test/stack/10.mp4,Put the stuffed animal on the box.,Processed,,
10/13,Esteban,egodex,test/stack/11.mp4,Place the block on the box.,Processed,,
10/13,Esteban,egodex,test/stack/12.mp4,Place the stuffed animal on the box.,Failed,,
10/13,Esteban,egodex,test/stack/13.mp4,Put the stuffed animal on the box.,Processed,,
10/13,Esteban,egodex,test/stack/14.mp4,Place the stuffed animal on the box.,Processed,,
10/13,Esteban,egodex,test/stack/15.mp4,Move the coffee cream from the box to the ground.,Processed,,
10/13,Esteban,egodex,test/stack/16.mp4,Put the white box on the brown box.,Processed,,
10/13,Esteban,egodex,test/stack/17.mp4,Place the lid on the box.,Processed,,
10/13,Esteban,egodex,test/stack/18.mp4,Place the coffee cream on the box.,Processed,,
10/13,Esteban,egodex,test/stack/19.mp4,Put the duck on the box.,Processed,,
10/13,Esteban,egodex,test/stack/20.mp4,Place the block on the box.,Processed,,
10/13,Esteban,egodex,test/stack/21.mp4,Place the stuffed animal on the box.,Processed,,
10/13,Esteban,egodex,test/stack/22.mp4,Put the stuffed animal on the box.,Processed,,
10/13,Esteban,egodex,test/stack/23.mp4,Place the duck on the box.,Processed,,
10/13,Esteban,egodex,test/stack/24.mp4,Put the duck on the box.,Processed,,
10/13,Esteban,egodex,test/stack/25.mp4,Put the stuffed toy on the box.,Processed,,
10/13,Esteban,egodex,test/stack/26.mp4,Put the coffee cream on the box.,Processed,,
10/13,Esteban,egodex,test/stack/27.mp4,Place the stuffed toy on the box.,Processed,,
10/13,Esteban,egodex,test/stack/28.mp4,Put the coffee cream on the box.,Processed,,
10/13,Esteban,egodex,test/stack/29.mp4,Place the duck on top of the box.,Processed,,
10/13,Esteban,egodex,test/stack/30.mp4,Place the duck on top of the box.,Processed,,